account_value,date,daily_return
1000000.0,2021-12-01,
1000043.9386165467,2021-12-02,4.393861654672371e-05
999986.5934089356,2021-12-03,-5.7342688052686164e-05
1000093.2577072144,2021-12-06,0.0001066657283026462
1000348.7433006897,2021-12-07,0.0002554617696963746
1000387.7916522522,2021-12-08,3.903473845889849e-05
1000255.015607605,2021-12-09,-0.00013272457516488867
1000461.1935627442,2021-12-10,0.0002061253899476867
1000230.7138329163,2021-12-13,-0.00023037348306043093
1000030.7121276552,2021-12-14,-0.0001999555727445479
1000520.8003153078,2021-12-15,0.0004900731364638755
1000206.5934814455,2021-12-16,-0.0003140432800230464
999797.5635104676,2021-12-17,-0.0004089454855061847
999359.8145528871,2021-12-20,-0.0004378375918856481
1000130.068997162,2021-12-21,0.0007707478658420808
1000601.7071354067,2021-12-22,0.0004715768007230725
1000916.8285431521,2021-12-23,0.0003149319109674309
1001687.6559470828,2021-12-27,0.0007701213347093283
1001636.3971085207,2021-12-28,-5.1172477026906193e-05
1001712.3776002199,2021-12-29,7.585636057005907e-05
1001528.627389374,2021-12-30,-0.00018343609897897295
1001353.0795011598,2021-12-31,-0.00017527995048105538
1001763.4535746766,2022-01-03,0.00040981955507768397
1001735.0215547486,2022-01-04,-2.8381969642166105e-05
1000227.1497720643,2022-01-05,-0.001505260123923824
1000148.741621277,2022-01-06,-7.839034443846149e-05
999816.7005534364,2022-01-07,-0.0003319916868588235
999706.4517354127,2022-01-10,-0.00011026903027588908
1000514.9214212343,2022-01-11,0.0008087070803814989
1000763.5022561952,2022-01-12,0.00024845290123987063
999429.190436493,2022-01-13,-0.0013332938468418876
999466.2782721559,2022-01-14,3.710901784526044e-05
997662.5903949281,2022-01-18,-0.0018046510587089726
996590.0934882509,2022-01-19,-0.0010750096445459878
995424.7649122011,2022-01-20,-0.0011693158337254816
993323.1953121645,2022-01-21,-0.002111228968893486
993777.9815071108,2022-01-24,0.000457843124063384
992416.5997735292,2022-01-25,-0.0013699053097523395
992130.4443279726,2022-01-26,-0.0002883420587905805
991556.8957914431,2022-01-27,-0.0005780979102179007
994482.7793352663,2022-01-28,0.0029507974340574616
996710.9709143984,2022-01-31,0.002240553205578255
997580.815196503,2022-02-01,0.0008727146660245655
998871.1973190615,2022-02-02,0.0012935113655974106
995634.3431534426,2022-02-03,-0.003240512064324741
996277.3436705935,2022-02-04,0.0006458199454171254
995821.4242523806,2022-02-07,-0.00045762299133800255
997000.8407590945,2022-02-08,0.0011843654675327553
999163.6084190371,2022-02-09,0.0021692736570773086
996406.8083740846,2022-02-10,-0.0027591077394366614
993375.0744142153,2022-02-11,-0.0030426668448968464
992869.9774130861,2022-02-14,-0.0005084655475445787
995383.9835490114,2022-02-15,0.002532059779343454
995562.1087003786,2022-02-16,0.00017895119301813978
992037.0616711427,2022-02-17,-0.0035407605396287067
990969.9542231447,2022-02-18,-0.0010756729654841646
989182.8998446962,2022-02-22,-0.001803338608635685
986210.5253351746,2022-02-23,-0.0030048785820986357
988725.5641881409,2022-02-24,0.0025502048379695275
992534.4415256043,2022-02-25,0.003852309958821465
992072.0225057069,2022-02-28,-0.0004658972027072883
989295.7396524354,2022-03-01,-0.0027984690529416767
992645.6380968018,2022-03-02,0.003386144617931297
991703.6890671387,2022-03-03,-0.0009489277880363467
990151.8098731689,2022-03-04,-0.0015648617738122095
984487.3905802307,2022-03-07,-0.005720758409423876
983049.6555242005,2022-03-08,-0.0014603895080695928
988158.7351468202,2022-03-09,0.00519717350380966
987258.548439087,2022-03-10,-0.0009109737896507708
984703.5871456605,2022-03-11,-0.002587935346283876
983231.5078092043,2022-03-14,-0.0014949466577280912
987679.8009323733,2022-03-15,0.004524156404507984
992328.5667942812,2022-03-16,0.004706754008251934
995045.531446747,2022-03-17,0.0027379687972128863
997486.5755694582,2022-03-18,0.0024531984171236587
997416.6684209291,2022-03-21,-7.008329760138654e-05
1000123.8530146792,2022-03-22,0.0027141962626671123
997063.3166142275,2022-03-23,-0.003060157390733398
1000638.8658499147,2022-03-24,0.003586080418472193
1001827.6763961489,2022-03-25,0.0011880515406768044
1003591.166129944,2022-03-28,0.0017602725252499063
1006721.0052412722,2022-03-29,0.0031186395585738325
1005115.1663917849,2022-03-30,-0.001595118052694633
1001093.443247986,2022-03-31,-0.004001256053310032
1001827.6787075503,2022-04-01,0.000733433491664881
1004086.3098388064,2022-04-04,0.0022545106102178636
1000680.15389386,2022-04-05,-0.0033922939806769747
997986.2204413149,2022-04-06,-0.002692102408609287
999341.0352031252,2022-04-07,0.0013575485653611885
998605.5028999941,2022-04-08,-0.0007360173126299552
993880.7980710757,2022-04-11,-0.004731302616696631
992860.5212235721,2022-04-12,-0.0010265585666648924
996024.7856145633,2022-04-13,0.0031870180386381897
992501.1840052188,2022-04-14,-0.003537664584491562
992614.2272765201,2022-04-18,0.00011389736669653594
997217.31472345,2022-04-19,0.0046373377697392915
996997.0029161685,2022-04-20,-0.00022092657641281654
992570.2581913455,2022-04-21,-0.004440078266910508
984488.9382830508,2022-04-22,-0.008141811465336879
986162.9589547426,2022-04-25,0.0017003956129881814
977649.363536011,2022-04-26,-0.008633051303970518
978456.901807831,2022-04-27,0.0008259998951969383
985826.8397708132,2022-04-28,0.007532204994788572
974656.2610239566,2022-04-29,-0.011331177338865683
976422.2702845767,2022-05-02,0.0018119303504651185
977787.5488530886,2022-05-03,0.001398246035615447
987002.2680661929,2022-05-04,0.009424050473860968
975808.9666357425,2022-05-05,-0.011340704872321306
973976.6909001467,2022-05-06,-0.001877699220076634
