,SPY,cash
2006-01-06,0.0,1.0
2006-01-09,0.4109448790550232,0.5890551209449768
2006-01-10,0.7901152968406677,0.20988468825817108
2006-01-11,0.8367584347724915,0.16324155032634735
2006-01-12,0.1872045397758484,0.8127954602241516
2006-01-13,0.7488316297531128,0.25116831064224243
2006-01-17,0.7640686631202698,0.23593133687973022
2006-01-18,0.8416973352432251,0.1583026647567749
2006-01-19,0.9033255577087402,0.09667449444532394
2006-01-20,0.43945878744125366,0.5605411529541016
2006-01-23,0.5599154829978943,0.44008445739746094
2006-01-24,0.9748395681381226,0.025160446763038635
2006-01-25,0.8034384846687317,0.1965615451335907
2006-01-26,0.24674779176712036,0.7532522082328796
2006-01-27,0.7754148840904236,0.2245851755142212
2006-01-30,0.23156695067882538,0.7684330344200134
2006-01-31,0.3384799063205719,0.6615200638771057
2006-02-01,0.3655697703361511,0.6344302296638489
2006-02-02,0.6907438635826111,0.3092561662197113
2006-02-03,0.38083571195602417,0.6191642880439758
2006-02-06,0.1332232654094696,0.866776704788208
2006-02-07,0.3610764443874359,0.6389235258102417
2006-02-08,0.5161692500114441,0.4838307201862335
2006-02-09,0.3595178425312042,0.6404821276664734
2006-02-10,0.20777103304862976,0.7922289967536926
2006-02-13,0.5076372623443604,0.49236273765563965
2006-02-14,0.5936440825462341,0.4063558876514435
2006-02-15,0.9135891795158386,0.0864107757806778
2006-02-16,0.496764600276947,0.503235399723053
2006-02-17,0.928537130355835,0.07146285474300385
2006-02-21,0.540472149848938,0.4595278799533844
2006-02-22,0.25665634870529175,0.7433436512947083
2006-02-23,0.3556760251522064,0.644324004650116
2006-02-24,0.8515568971633911,0.14844313263893127
2006-02-27,0.5065711736679077,0.49342888593673706
2006-02-28,0.2010912001132965,0.7989088296890259
2006-03-01,0.7897533774375916,0.21024663746356964
2006-03-02,0.935360312461853,0.06463971734046936
2006-03-03,0.9789450764656067,0.021054966375231743
2006-03-06,0.9146989583969116,0.0853009819984436
2006-03-07,0.2772200405597687,0.7227799892425537
2006-03-08,0.5517878532409668,0.448212206363678
2006-03-09,0.3783096671104431,0.6216903328895569
2006-03-10,0.5170964002609253,0.4829035699367523
2006-03-13,0.8003193140029907,0.1996806412935257
2006-03-14,0.9922676682472229,0.007732342462986708
2006-03-15,0.20251402258872986,0.7974859476089478
2006-03-16,0.07429835200309753,0.9257016777992249
2006-03-17,0.36912864446640015,0.6308714151382446
2006-03-20,0.2231130748987198,0.7768869400024414
2006-03-21,0.4595814049243927,0.5404185652732849
2006-03-22,0.9245180487632751,0.07548196613788605
2006-03-23,0.4121341109275818,0.5878658890724182
2006-03-24,0.721419632434845,0.27858036756515503
2006-03-27,0.8812208771705627,0.11877908557653427
2006-03-28,0.298259973526001,0.7017400860786438
2006-03-29,0.4132193922996521,0.5867806077003479
2006-03-30,0.6743987202644348,0.3256013095378876
2006-03-31,0.4849807918071747,0.5150191783905029
2006-04-03,0.9097812175750732,0.09021884948015213
2006-04-04,0.9465101957321167,0.0534898079931736
2006-04-05,0.5194126963615417,0.48058730363845825
2006-04-06,0.7263290882110596,0.27367085218429565
2006-04-07,0.32921841740608215,0.6707815527915955
2006-04-10,0.5233057141304016,0.476694256067276
2006-04-11,0.4297466278076172,0.5702533721923828
2006-04-12,0.6067084670066833,0.39329153299331665
2006-04-13,0.04145137965679169,0.9585486054420471
2006-04-17,0.566859781742096,0.43314024806022644
2006-04-18,0.5992713570594788,0.40072864294052124
2006-04-19,0.10726526379585266,0.8927347660064697
2006-04-20,0.5905404090881348,0.4094596207141876
2006-04-21,0.09584970772266388,0.9041503071784973
2006-04-24,0.9514877200126648,0.04851226136088371
2006-04-25,0.7585247755050659,0.2414751946926117
2006-04-26,0.039042212069034576,0.9609578251838684
2006-04-27,0.42798125743865967,0.5720187425613403
2006-04-28,0.7114590406417847,0.28854095935821533
2006-05-01,0.4947341978549957,0.5052657723426819
2006-05-02,0.5993055105209351,0.4006945490837097
2006-05-03,0.33754298090934753,0.6624570488929749
2006-05-04,0.4416840672492981,0.5583159327507019
2006-05-05,0.3899726867675781,0.6100273132324219
2006-05-08,0.12039943784475327,0.8796005249023438
2006-05-09,0.259919673204422,0.7400803565979004
2006-05-10,0.7501505613327026,0.24984939396381378
2006-05-11,0.23616744577884674,0.7638325691223145
2006-05-12,0.6785573363304138,0.3214426338672638
2006-05-15,0.09400049597024918,0.9059994220733643
2006-05-16,0.3495875895023346,0.650412380695343
2006-05-17,0.511084794998169,0.48891517519950867
2006-05-18,0.5234781503677368,0.4765218496322632
2006-05-19,0.6313713788986206,0.36862868070602417
2006-05-22,0.19841210544109344,0.8015879392623901
2006-05-23,0.028867356479167938,0.9711326360702515
2006-05-24,0.5921946167945862,0.4078053832054138
2006-05-25,0.21531125903129578,0.7846887707710266
2006-05-26,0.40171685814857483,0.5982831716537476
2006-05-30,0.8342289924621582,0.1657709777355194
2006-05-31,0.7891653180122375,0.21083469688892365
2006-06-01,0.44110700488090515,0.5588930249214172
2006-06-02,0.6082158088684082,0.3917841911315918
2006-06-05,0.23123985528945923,0.7687601447105408
2006-06-06,0.3588321805000305,0.6411678791046143
2006-06-07,0.8594024181365967,0.14059756696224213
2006-06-08,0.42058923840522766,0.5794106721878052
2006-06-09,0.12718091905117035,0.8728190660476685
2006-06-12,0.7289109826087952,0.27108901739120483
2006-06-13,0.2719970643520355,0.7280029654502869
2006-06-14,0.1403312087059021,0.8596687912940979
2006-06-15,0.5680477619171143,0.43195226788520813
2006-06-16,0.09166352450847626,0.9083364605903625
