,daily_return,date
1953,28.874623838455168,2007-10-10
1954,28.735990853479,2007-10-11
1955,28.894954758782998,2007-10-12
1956,28.894954758782998,2007-10-15
1957,28.894954758782998,2007-10-16
1958,28.894954758782998,2007-10-17
1959,28.894954758782998,2007-10-18
1960,28.894954758782998,2007-10-19
1961,28.894954758782998,2007-10-22
1962,28.894954758782998,2007-10-23
1963,28.841653704645413,2007-10-24
1964,28.841653704645413,2007-10-25
1965,29.179766877900335,2007-10-26
1966,29.276640041116153,2007-10-29
1967,29.276640041116153,2007-10-30
1968,29.276640041116153,2007-10-31
1969,29.276640041116153,2007-11-01
1970,29.309581828547703,2007-11-02
1971,29.309581828547703,2007-11-05
1972,29.309581828547703,2007-11-06
1973,29.309581828547703,2007-11-07
1974,29.309581828547703,2007-11-08
1975,29.309581828547703,2007-11-09
1976,29.309581828547703,2007-11-12
1977,30.20295142176635,2007-11-13
1978,30.20295142176635,2007-11-14
1979,30.20295142176635,2007-11-15
1980,30.20295142176635,2007-11-16
1981,30.20295142176635,2007-11-19
1982,30.38782225485202,2007-11-20
1983,30.38782225485202,2007-11-21
1984,30.91331236346395,2007-11-23
1985,30.91331236346395,2007-11-26
1986,31.26862233691575,2007-11-27
1987,32.26873380532021,2007-11-28
1988,32.279693687892376,2007-11-29
1989,32.60429005228424,2007-11-30
1990,32.60429005228424,2007-12-03
1991,32.60429005228424,2007-12-04
1992,33.15006397496008,2007-12-05
1993,33.15006397496008,2007-12-06
1994,33.15006397496008,2007-12-07
1995,33.40706538144209,2007-12-10
1996,33.40706538144209,2007-12-11
1997,33.40706538144209,2007-12-12
1998,33.40706538144209,2007-12-13
1999,33.40706538144209,2007-12-14
2000,33.40706538144209,2007-12-17
2001,33.59360036537926,2007-12-18
2002,33.59360036537926,2007-12-19
2003,33.80544879786794,2007-12-20
2004,34.29276851692453,2007-12-21
2005,34.29276851692453,2007-12-24
2006,34.366294682170604,2007-12-26
2007,33.93426739901505,2007-12-27
2008,33.93426739901505,2007-12-28
2009,33.93426739901505,2007-12-31
2010,33.93426739901505,2008-01-02
2011,33.93426739901505,2008-01-03
2012,33.93426739901505,2008-01-04
2013,33.93426739901505,2008-01-07
2014,33.93426739901505,2008-01-08
2015,34.29092110972825,2008-01-09
2016,34.51568159144978,2008-01-10
2017,34.51568159144978,2008-01-11
2018,34.79397010187255,2008-01-14
2019,34.79397010187255,2008-01-15
2020,34.79397010187255,2008-01-16
2021,34.79397010187255,2008-01-17
2022,34.79397010187255,2008-01-18
2023,34.79397010187255,2008-01-22
2024,35.62974499841588,2008-01-23
2025,35.93051991607832,2008-01-24
2026,35.41147827909926,2008-01-25
2027,35.99705603900948,2008-01-28
2028,36.17539394314071,2008-01-29
2029,36.17539394314071,2008-01-30
2030,36.83502009320003,2008-01-31
2031,37.4276307610424,2008-02-01
2032,37.4276307610424,2008-02-04
2033,37.4276307610424,2008-02-05
2034,37.4276307610424,2008-02-06
2035,37.67517862617555,2008-02-07
2036,37.67517862617555,2008-02-08
2037,37.86771106260232,2008-02-11
2038,38.21879154570007,2008-02-12
2039,38.60948931946909,2008-02-13
2040,38.60948931946909,2008-02-14
2041,38.60948931946909,2008-02-15
2042,38.718045714764536,2008-02-19
2043,38.718045714764536,2008-02-20
2044,38.718045714764536,2008-02-21
2045,38.718045714764536,2008-02-22
2046,38.718045714764536,2008-02-25
2047,38.718045714764536,2008-02-26
2048,38.718045714764536,2008-02-27
2049,38.718045714764536,2008-02-28
2050,38.718045714764536,2008-02-29
2051,38.718045714764536,2008-03-03
2052,38.718045714764536,2008-03-04
2053,38.962596286828465,2008-03-05
2054,38.962596286828465,2008-03-06
2055,38.962596286828465,2008-03-07
2056,38.44892729346974,2008-03-10
2057,39.830694839781586,2008-03-11
2058,39.830694839781586,2008-03-12
2059,39.830694839781586,2008-03-13
2060,39.830694839781586,2008-03-14
2061,39.830694839781586,2008-03-17
2062,41.485383828144286,2008-03-18
2063,41.485383828144286,2008-03-19
2064,42.25379501370262,2008-03-20
2065,42.25379501370262,2008-03-24
2066,42.25379501370262,2008-03-25
2067,42.25379501370262,2008-03-26
2068,42.25379501370262,2008-03-27
2069,42.25379501370262,2008-03-28
2070,42.40158051053685,2008-03-31
2071,43.89239483574751,2008-04-01
2072,43.92131254525665,2008-04-02
2073,43.92131254525665,2008-04-03
2074,43.92131254525665,2008-04-04
2075,43.92131254525665,2008-04-07
2076,43.92131254525665,2008-04-08
2077,43.92131254525665,2008-04-09
2078,43.982735804376716,2008-04-10
2079,43.129095609936265,2008-04-11
2080,43.129095609936265,2008-04-14
2081,43.129095609936265,2008-04-15
2082,43.129095609936265,2008-04-16
2083,43.129095609936265,2008-04-17
2084,43.129095609936265,2008-04-18
2085,43.129095609936265,2008-04-21
2086,43.129095609936265,2008-04-22
2087,43.129095609936265,2008-04-23
2088,43.316983770152284,2008-04-24
2089,43.316983770152284,2008-04-25
2090,43.316983770152284,2008-04-28
2091,43.316983770152284,2008-04-29
2092,43.316983770152284,2008-04-30
2093,43.316983770152284,2008-05-01
2094,43.316983770152284,2008-05-02
2095,43.316983770152284,2008-05-05
2096,43.692234108234146,2008-05-06
2097,43.692234108234146,2008-05-07
2098,43.579505199828866,2008-05-08
2099,43.579505199828866,2008-05-09
2100,43.579505199828866,2008-05-12
2101,43.579505199828866,2008-05-13
2102,43.579505199828866,2008-05-14
2103,44.12434668657926,2008-05-15
2104,44.16459476009303,2008-05-16
2105,44.285332622831106,2008-05-19
2106,44.285332622831106,2008-05-20
2107,44.285332622831106,2008-05-21
2108,44.285332622831106,2008-05-22
2109,44.285332622831106,2008-05-23
2110,44.6135338166263,2008-05-27
2111,44.819442988271796,2008-05-28
2112,45.04466316544114,2008-05-29
2113,45.15727820980138,2008-05-30
2114,45.15727820980138,2008-06-02
2115,45.15727820980138,2008-06-03
2116,45.15727820980138,2008-06-04
2117,45.15727820980138,2008-06-05
2118,45.15727820980138,2008-06-06
2119,45.15727820980138,2008-06-09
2120,45.15727820980138,2008-06-10
2121,45.15727820980138,2008-06-11
2122,45.32920275662771,2008-06-12
2123,45.32920275662771,2008-06-13
2124,45.32920275662771,2008-06-16
2125,45.32920275662771,2008-06-17
2126,45.32920275662771,2008-06-18
2127,45.32920275662771,2008-06-19
2128,45.32920275662771,2008-06-20
2129,45.32920275662771,2008-06-23
2130,45.32920275662771,2008-06-24
2131,45.54342327431847,2008-06-25
2132,45.54342327431847,2008-06-26
2133,45.29478245431685,2008-06-27
2134,45.45461339081657,2008-06-30
2135,45.59668089905896,2008-07-01
2136,45.59668089905896,2008-07-02
2137,45.64364890848477,2008-07-03
2138,45.64364890848477,2008-07-07
2139,46.45415622189075,2008-07-08
2140,45.55969566129791,2008-07-09
2141,45.74590281463808,2008-07-10
2142,45.21285229167727,2008-07-11
2143,44.80394857488487,2008-07-14
2144,44.172340834118835,2008-07-15
2145,45.25668285483579,2008-07-16
2146,45.70936491113699,2008-07-17
2147,45.99414420332517,2008-07-18
2148,46.0197002193421,2008-07-21
2149,46.54178004560085,2008-07-22
2150,46.79369574107186,2008-07-23
2151,46.79369574107186,2008-07-24
2152,46.79369574107186,2008-07-25
2153,46.79369574107186,2008-07-28
2154,47.79284930422074,2008-07-29
2155,48.64440590954006,2008-07-30
2156,48.64440590954006,2008-07-31
2157,48.64440590954006,2008-08-01
2158,48.64440590954006,2008-08-04
2159,48.64440590954006,2008-08-05
2160,48.64440590954006,2008-08-06
2161,48.64440590954006,2008-08-07
2162,48.64440590954006,2008-08-08
2163,48.64440590954006,2008-08-11
2164,48.64440590954006,2008-08-12
2165,48.64440590954006,2008-08-13
2166,48.64440590954006,2008-08-14
2167,48.64440590954006,2008-08-15
2168,48.64440590954006,2008-08-18
2169,48.64440590954006,2008-08-19
2170,48.64440590954006,2008-08-20
2171,48.64440590954006,2008-08-21
2172,48.64440590954006,2008-08-22
2173,48.64440590954006,2008-08-25
2174,48.64440590954006,2008-08-26
2175,48.64440590954006,2008-08-27
2176,48.64440590954006,2008-08-28
2177,48.64440590954006,2008-08-29
2178,48.64440590954006,2008-09-02
2179,48.64440590954006,2008-09-03
2180,48.64440590954006,2008-09-04
2181,48.64440590954006,2008-09-05
2182,48.64440590954006,2008-09-08
2183,48.64440590954006,2008-09-09
2184,48.64440590954006,2008-09-10
2185,48.64440590954006,2008-09-11
2186,48.64440590954006,2008-09-12
2187,48.64440590954006,2008-09-15
2188,49.45859644493122,2008-09-16
2189,47.23479669250754,2008-09-17
2190,48.63629818987499,2008-09-18
2191,50.5678475510636,2008-09-19
2192,50.5678475510636,2008-09-22
2193,50.5678475510636,2008-09-23
2194,50.72992931863943,2008-09-24
2195,51.523334845304376,2008-09-25
2196,51.523334845304376,2008-09-26
2197,51.523334845304376,2008-09-29
2198,53.655872566702996,2008-09-30
2199,53.68824568893796,2008-10-01
2200,53.68824568893796,2008-10-02
2201,53.68824568893796,2008-10-03
2202,53.68824568893796,2008-10-06
2203,53.68824568893796,2008-10-07
2204,53.68824568893796,2008-10-08
2205,53.68824568893796,2008-10-09
2206,53.68824568893796,2008-10-10
2207,53.68824568893796,2008-10-13
2208,53.68824568893796,2008-10-14
2209,53.68824568893796,2008-10-15
2210,53.68824568893796,2008-10-16
2211,53.68824568893796,2008-10-17
2212,53.68824568893796,2008-10-20
2213,53.68824568893796,2008-10-21
2214,53.68824568893796,2008-10-22
2215,53.68824568893796,2008-10-23
2216,53.68824568893796,2008-10-24
2217,53.68824568893796,2008-10-27
2218,53.68824568893796,2008-10-28
2219,53.68824568893796,2008-10-29
2220,55.545522724855616,2008-10-30
2221,55.85123781525449,2008-10-31
2222,56.01273507105849,2008-11-03
2223,57.91614329828828,2008-11-04
2224,57.91614329828828,2008-11-05
2225,57.91614329828828,2008-11-06
2226,59.82839025652521,2008-11-07
2227,59.82839025652521,2008-11-10
2228,59.82839025652521,2008-11-11
2229,59.82839025652521,2008-11-12
2230,59.82839025652521,2008-11-13
2231,59.82839025652521,2008-11-14
2232,59.82839025652521,2008-11-17
2233,59.82839025652521,2008-11-18
2234,59.82839025652521,2008-11-19
2235,59.82839025652521,2008-11-20
2236,63.055719868381274,2008-11-21
2237,67.42489529639543,2008-11-24
2238,67.92445460305369,2008-11-25
2239,70.54915779984177,2008-11-26
2240,71.43726681401841,2008-11-28
2241,71.43726681401841,2008-12-01
2242,74.1865080889115,2008-12-02
2243,75.9700247406538,2008-12-03
2244,75.9700247406538,2008-12-04
2245,75.9700247406538,2008-12-05
2246,75.9700247406538,2008-12-08
2247,75.9700247406538,2008-12-09
2248,75.9700247406538,2008-12-10
2249,75.9700247406538,2008-12-11
2250,76.87708416760141,2008-12-12
2251,76.87708416760141,2008-12-15
2252,80.49536161916838,2008-12-16
2253,80.49536161916838,2008-12-17
2254,80.49536161916838,2008-12-18
2255,80.49536161916838,2008-12-19
2256,80.49536161916838,2008-12-22
2257,80.49536161916838,2008-12-23
2258,80.96246820677791,2008-12-24
2259,81.4296218656118,2008-12-26
2260,81.4296218656118,2008-12-29
2261,83.35975052550317,2008-12-30
2262,83.35975052550317,2008-12-31
2263,85.87235426246406,2009-01-02
2264,85.87235426246406,2009-01-05
2265,85.87235426246406,2009-01-06
2266,85.87235426246406,2009-01-07
2267,86.22279356270386,2009-01-08
2268,86.22279356270386,2009-01-09
2269,86.22279356270386,2009-01-12
2270,86.22279356270386,2009-01-13
2271,86.22279356270386,2009-01-14
2272,86.22279356270386,2009-01-15
2273,86.22279356270386,2009-01-16
2274,86.22279356270386,2009-01-20
2275,86.22279356270386,2009-01-21
2276,86.22279356270386,2009-01-22
2277,86.22279356270386,2009-01-23
2278,86.22279356270386,2009-01-26
2279,86.22279356270386,2009-01-27
2280,89.14003873672327,2009-01-28
2281,89.14003873672327,2009-01-29
2282,89.14003873672327,2009-01-30
2283,89.14003873672327,2009-02-02
2284,89.14003873672327,2009-02-03
2285,89.14003873672327,2009-02-04
2286,90.46651658094507,2009-02-05
2287,93.04455590088338,2009-02-06
2288,93.17288386736621,2009-02-09
2289,93.17288386736621,2009-02-10
2290,93.72228869472265,2009-02-11
2291,93.78953877825052,2009-02-12
2292,93.78953877825052,2009-02-13
2293,93.78953877825052,2009-02-17
2294,93.78953877825052,2009-02-18
2295,93.78953877825052,2009-02-19
2296,93.78953877825052,2009-02-20
2297,93.78953877825052,2009-02-23
2298,93.78953877825052,2009-02-24
2299,93.78953877825052,2009-02-25
2300,93.78953877825052,2009-02-26
2301,93.78953877825052,2009-02-27
2302,93.78953877825052,2009-03-02
2303,93.78953877825052,2009-03-03
2304,93.78953877825052,2009-03-04
2305,93.78953877825052,2009-03-05
2306,93.78953877825052,2009-03-06
2307,93.78953877825052,2009-03-09
2308,99.38024950340419,2009-03-10
2309,100.0274740156253,2009-03-11
2310,103.96577692804323,2009-03-12
2311,104.77823667114389,2009-03-13
2312,104.77823667114389,2009-03-16
2313,107.98263964281804,2009-03-17
2314,110.39975380336908,2009-03-18
2315,110.39975380336908,2009-03-19
2316,110.39975380336908,2009-03-20
2317,110.39975380336908,2009-03-23
2318,110.39975380336908,2009-03-24
2319,111.56405536208254,2009-03-25
2320,113.83769062969951,2009-03-26
2321,113.83769062969951,2009-03-27
2322,113.83769062969951,2009-03-30
2323,113.83769062969951,2009-03-31
2324,113.83769062969951,2009-04-01
2325,113.83769062969951,2009-04-02
2326,113.83769062969951,2009-04-03
2327,113.83769062969951,2009-04-06
2328,113.83769062969951,2009-04-07
2329,113.83769062969951,2009-04-08
2330,113.83769062969951,2009-04-09
2331,113.83769062969951,2009-04-13
2332,113.83769062969951,2009-04-14
2333,113.83769062969951,2009-04-15
2334,113.83769062969951,2009-04-16
2335,113.83769062969951,2009-04-17
2336,113.83769062969951,2009-04-20
2337,116.06179856595655,2009-04-21
2338,116.06179856595655,2009-04-22
2339,117.20125496342914,2009-04-23
2340,118.97222261180823,2009-04-24
2341,118.97222261180823,2009-04-27
2342,118.97222261180823,2009-04-28
2343,121.50262218007789,2009-04-29
2344,121.50262218007789,2009-04-30
2345,121.50262218007789,2009-05-01
2346,121.50262218007789,2009-05-04
2347,121.50262218007789,2009-05-05
2348,121.50262218007789,2009-05-06
2349,121.50262218007789,2009-05-07
2350,121.50262218007789,2009-05-08
2351,121.50262218007789,2009-05-11
