,date,open,high,low,close,volume,tic,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2014-01-06,19.194643020629883,19.5285701751709,19.05714225769043,17.076133728027344,412610800,AAPL,0,0.0,17.187775656377674,16.842373803461193,0.0,66.66666666699402,100.0,17.076133728027344,17.076133728027344,13.550000190734863,0.0
0,2014-01-06,178.91969299316406,179.12045288085938,177.1510467529297,119.55218505859375,4254919,IBM,0,0.0,17.187775656377674,16.842373803461193,0.0,66.66666666699402,100.0,119.55218505859375,119.55218505859375,13.550000190734863,0.0
0,2014-01-06,54.41999816894531,57.2599983215332,54.04999923706055,57.20000076293945,68852600,META,0,0.0,17.187775656377674,16.842373803461193,0.0,66.66666666699402,100.0,57.20000076293945,57.20000076293945,13.550000190734863,0.0
0,2014-01-06,3.9574999809265137,4.0,3.9200000762939453,3.7460782527923584,40949200,NVDA,0,0.0,17.187775656377674,16.842373803461193,0.0,66.66666666699402,100.0,3.7460782527923584,3.7460782527923584,13.550000190734863,0.0
1,2014-01-07,19.440000534057617,19.498571395874023,19.211429595947266,16.954015731811523,317209200,AAPL,1,-0.0027398268381730873,17.187775656377674,16.842373803461193,0.0,66.66666666699402,100.0,17.015074729919434,17.015074729919434,12.920000076293945,0.0
1,2014-01-07,178.193115234375,181.97897338867188,178.18356323242188,121.9367904663086,6205186,IBM,1,0.053500762352570064,124.11682907094973,117.37214645395261,100.0,66.66666666666666,100.0,120.74448776245117,120.74448776245117,12.920000076293945,0.0
1,2014-01-07,57.70000076293945,58.54999923706055,57.220001220703125,57.91999816894531,77207400,META,1,0.016153787955261123,58.57822956238932,56.54176936949545,100.0,66.66666666666667,100.0,57.55999946594238,57.55999946594238,12.920000076293945,0.0
1,2014-01-07,4.010000228881836,4.050000190734863,3.9825000762939453,3.8074111938476562,33328800,NVDA,1,0.0013760595749587878,3.8634826003806393,3.6900068462593754,100.0,66.66666666666718,100.0,3.7767447233200073,3.7767447233200073,12.920000076293945,0.0
2,2014-01-08,19.243213653564453,19.484285354614258,19.238929748535156,17.061382293701172,258529600,AAPL,2,-0.0001616525516645595,17.163822220480732,16.897198948545963,47.6308400473282,100.00000000000657,100.0,17.030510584513348,17.030510584513348,12.869999885559082,0.0
2,2014-01-08,181.0038299560547,181.08985900878906,179.0248565673828,120.81837463378906,4815470,IBM,2,0.03348858239021979,123.15524789300007,118.38298554612753,67.33154383654295,34.63462490810945,100.0,120.7691167195638,120.7691167195638,12.869999885559082,0.0
2,2014-01-08,57.599998474121094,58.40999984741211,57.22999954223633,58.22999954223633,56682400,META,2,0.030196256205549332,58.840181789460445,56.72648385995362,100.0,52.561673949818335,100.0,57.78333282470703,57.78333282470703,12.869999885559082,0.0
2,2014-01-08,4.050000190734863,4.110000133514404,4.034999847412109,3.859308958053589,30819200,NVDA,2,0.0033627195908412233,3.917627798617789,3.690904471177946,100.0,98.15732829364272,100.0,3.8042661348978677,3.8042661348978677,12.869999885559082,0.0
3,2014-01-09,19.5285701751709,19.53071403503418,19.11964225769043,16.843509674072266,279148800,AAPL,3,-0.006851294599240276,17.2001334960909,16.767387217715253,23.816925112047684,-133.33333333332882,100.0,16.983760356903076,16.983760356903076,12.890000343322754,0.0
3,2014-01-09,180.70745849609375,181.16635131835938,178.34608459472656,120.43914794921875,4520080,IBM,3,0.00987409549341578,122.66263752642008,118.710611527535,60.40923763794625,8.583364522170788,59.475097463789496,120.68662452697754,120.68662452697754,12.890000343322754,0.0
3,2014-01-09,58.650001525878906,58.959999084472656,56.650001525878906,57.220001220703125,92253300,META,3,-0.0006225922367235626,58.67301548348015,56.61198436393196,49.053381212866114,21.71385278062492,35.029959169758754,57.642499923706055,57.642499923706055,12.890000343322754,0.0
3,2014-01-09,4.027500152587891,4.034999847412109,3.924999952316284,3.7154107093811035,29217200,NVDA,3,-0.0010115116681723713,3.9103586742205185,3.653745882816835,42.756299576559535,-64.19160688396954,2.457849708431554,3.7820522785186768,3.7820522785186768,12.890000343322754,0.0
4,2014-01-10,19.27964210510254,19.314285278320312,18.96821403503418,16.731121063232422,304976000,AAPL,4,-0.014814310508537432,17.226787078590746,16.639677917747143,18.800859891878687,-157.4875604131931,100.0,16.933232498168945,16.933232498168945,12.140000343322754,0.0
4,2014-01-10,180.0286865234375,180.27725219726562,178.08795166015625,120.3620834350586,4207430,IBM,4,-0.006232112409620072,122.35743865584563,118.88599396134187,59.13124581556367,-29.117347030063588,47.70123686346555,120.62171630859375,120.62171630859375,12.140000343322754,0.0
4,2014-01-10,57.130001068115234,58.29999923706055,57.060001373291016,57.939998626708984,42449500,META,4,0.01129436743656953,58.633276272964416,56.770723055648865,62.966946384381146,36.47156970640728,35.029959169758754,57.70199966430664,57.70199966430664,12.140000343322754,0.0
4,2014-01-10,3.950000047683716,3.9774999618530273,3.8975000381469727,3.7106926441192627,21849200,NVDA,4,-0.0035548513142646954,3.8959234603914403,3.639637242886147,41.94195526820093,-83.7096613727163,13.869177021511781,3.7677803516387938,3.7677803516387938,12.140000343322754,0.0
5,2014-01-13,18.925357818603516,19.375,18.924285888671875,16.818708419799805,378492800,AAPL,0,-0.015577416544932277,17.192862349605207,16.635427953942973,30.58674647483268,-86.62499623190035,61.882110319509756,16.91414515177409,16.91414515177409,13.279999732971191,0.0
5,2014-01-13,178.06883239746094,178.72848510742188,175.77438354492188,118.3695068359375,6050796,IBM,0,-0.10100072669420967,122.6529675440581,117.83972858224399,37.76280596740748,-136.40719772666415,12.31866618251352,120.24634806315105,120.24634806315105,13.279999732971191,0.0
5,2014-01-13,57.90999984741211,58.25,55.380001068115234,55.90999984741211,63010900,META,0,-0.06855815663236342,59.08697881235125,55.71968724396386,35.04888103193875,-82.43315659364667,32.71918035430915,57.403333028157554,57.403333028157554,13.279999732971191,0.0
5,2014-01-13,3.932499885559082,3.9574999809265137,3.8324999809265137,3.623410224914551,24333200,NVDA,0,-0.008749171323397587,3.9081318041927062,3.5793055235101336,30.738032481085185,-126.44968265376134,33.02710605458328,3.74371866385142,3.74371866385142,13.279999732971191,0.0
6,2014-01-14,19.222143173217773,19.526071548461914,19.2021427154541,17.153362274169922,332561600,AAPL,1,-0.0006381047645191984,17.26046637532162,16.63617167748251,55.89182114580237,92.03022051323201,8.603358829430178,16.948319026402064,16.948319026402064,12.279999732971191,0.0
6,2014-01-14,176.92160034179688,178.23135375976562,175.7935028076172,119.50077819824219,4831683,IBM,1,-0.1087885608491348,122.40791148644841,117.87176467845113,48.65942025922045,-89.52245135629032,12.31866618251352,120.13983808244977,120.13983808244977,12.279999732971191,0.0
6,2014-01-14,56.459999084472656,57.779998779296875,56.099998474121094,57.7400016784668,37503600,META,1,-0.03568530111166979,59.00930797031565,55.89354912894495,54.04870095567685,-11.118997277937693,32.71918035430915,57.4514285496303,57.4514285496303,12.279999732971191,0.0
