,date,open,high,low,close,volume,tic,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence,2year_rate,10year_rate,30year_rate
0,2006-01-03,125.19000244140625,127.0,124.38999938964844,90.30625915527344,73256700,SPY,1,0.0,91.1248588455058,89.9153022873067,100.0,66.66666666666579,100.0,90.30625915527344,90.30625915527344,11.140000343322754,0.0,4.34,4.37,4.52
1,2006-01-04,126.86000061035156,127.48999786376953,126.69999694824219,90.73390197753906,51899600,SPY,2,0.00959455049954272,91.1248588455058,89.9153022873067,100.0,66.66666666666579,100.0,90.52008056640625,90.52008056640625,11.369999885559082,0.0,4.31,4.36,4.55
2,2006-01-05,127.1500015258789,127.58999633789062,126.87999725341797,90.79093170166016,47307500,SPY,3,0.01399385006091336,91.14016817275103,90.08056038356406,100.0,57.442874777737856,100.0,90.61036427815755,90.61036427815755,11.3100004196167,0.0,4.32,4.36,4.51
3,2006-01-06,128.02000427246094,128.5800018310547,127.36000061035156,91.54647064208984,62885900,SPY,4,0.04293022968158766,91.87561501342037,89.81316672486088,100.0,112.09560583129591,100.0,90.84439086914062,90.84439086914062,11.0,0.0,4.36,4.38,4.53
4,2006-01-09,128.4199981689453,129.05999755859375,128.3800048828125,91.78165435791016,43527400,SPY,0,0.06710853745983059,92.2567262978992,89.80696083588987,100.0,110.75867857091208,100.0,91.03184356689454,91.03184356689454,11.130000114440918,0.0,4.36,4.38,4.53
5,2006-01-10,128.38999938964844,128.97999572753906,128.25999450683594,91.87429809570312,44960800,SPY,1,0.08434306247310985,92.46586127146273,89.87864403859587,100.0,81.20804304010468,88.1605654196535,91.1722526550293,91.1722526550293,10.859999656677246,0.0,4.41,4.43,4.62
6,2006-01-11,129.02000427246094,129.44000244140625,128.72999572753906,92.16654205322266,49598900,SPY,2,0.10718209511371413,92.7140940480991,89.91449394715761,100.0,93.0834392996622,90.41132117509069,91.31429399762835,91.31429399762835,10.9399995803833,0.0,4.44,4.46,4.61
7,2006-01-12,129.0800018310547,129.27999877929688,128.44000244140625,91.80306243896484,40509200,SPY,3,0.10348600110943096,92.71664597543712,90.0341341301537,81.84226860233424,63.957573434341526,69.40841397042779,91.37539005279541,91.37539005279541,11.199999809265137,0.0,4.39,4.42,4.56
8,2006-01-13,128.57000732421875,128.89999389648438,128.1999969482422,91.71752166748047,44856700,SPY,4,0.095107952810352,92.6885989902078,90.13821036309082,78.37753728323938,42.218953541851995,54.7904371397173,91.41340467664931,91.41340467664931,11.229999542236328,0.0,4.34,4.36,4.49
9,2006-01-17,128.1999969482422,128.4199981689453,127.80999755859375,91.46802520751953,52066600,SPY,1,0.0749296783753266,92.62162765302298,90.21610580644966,69.50002384819653,9.351608453787087,35.182229396869374,91.41886672973632,91.41886672973632,11.90999984741211,0.0,4.33,4.34,4.52
