index,date,open,high,low,close,volume,tic,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence,2year_rate,10year_rate,30year_rate,buy_signal
395,2023-06-29,72.43000030517578,73.41999816894531,72.27999877929688,72.50999450683594,1855300,STT,3,0.3997014265360405,74.84855644482086,69.5210877202182,50.642042498004,53.383560427212124,3.666208915379664,70.69344711303711,71.19756762186687,13.539999961853027,630.1023379732571,4.87,3.85,3.92,1.0
395,2023-06-29,82.33000183105469,83.48999786376953,82.1500015258789,83.20999908447266,1719900,BBY,3,2.601984107139557,84.60836688489496,70.04687984972418,63.59727994574997,146.82707482766787,34.14097575500324,75.20539728800456,73.7985610961914,13.539999961853027,630.1023379732571,4.87,3.85,3.92,1.0
395,2023-06-29,248.6999969482422,249.9900054931641,248.1499938964844,249.97999572753903,2314400,FDX,3,5.513938268342884,249.59191487704564,210.54775339688013,64.96192299627765,236.24061471701495,25.300313604854185,228.21248626708984,227.5532262166341,13.539999961853027,630.1023379732571,4.87,3.85,3.92,1.0
395,2023-06-29,107.7699966430664,109.12000274658205,107.7699966430664,108.72637176513672,419900,GL,3,0.1597638397876295,109.60335799566286,104.59508484491332,51.28707859394447,93.95279146386976,2.3435441307592626,106.85655314127604,107.17440032958984,13.539999961853027,630.1023379732571,4.87,3.85,3.92,1.0
395,2023-06-29,165.0500030517578,166.7100067138672,164.47999572753906,166.05999755859375,543900,GPC,3,1.132084318093689,168.2011689366536,148.83083179576826,54.19766424745692,116.34124057714816,0.0870720874868768,158.6790740966797,162.7396260579427,13.539999961853027,630.1023379732571,4.87,3.85,3.92,1.0
395,2023-06-29,89.5,89.77999877929688,88.7300033569336,89.22000122070312,2661900,EMR,3,1.7938274408338517,91.31492494211628,80.25707289113566,59.12693230336362,119.55659729246784,16.34493048786777,83.97099914550782,83.77976506551107,13.539999961853027,630.1023379732571,4.87,3.85,3.92,1.0
395,2023-06-29,371.489990234375,376.7300109863281,368.2300109863281,375.75,914000,ODFL,3,11.982880012320834,366.3831366958228,287.0015709457788,64.82462605182386,279.9836164748238,26.00490881394404,319.98339029947914,322.6078414916992,13.539999961853027,630.1023379732571,4.87,3.85,3.92,1.0
395,2023-06-29,59.880001068115234,60.2400016784668,59.61000061035156,59.9640007019043,3702900,O,3,-0.1346890233577795,61.54877843118442,58.573394496672016,47.94936266073439,-3.4414888183409005,6.032077168872864,59.735284423828126,60.5163018544515,13.539999961853027,630.1023379732571,4.87,3.85,3.92,1.0
395,2023-06-29,109.06999969482422,109.43000030517578,108.62000274658205,109.08999633789062,1416900,ALL,3,-1.1740381042054793,113.50910911297537,106.60789070391915,44.42966534613025,-59.41954169486678,13.916543147827742,111.16296971638998,112.86449953715008,13.539999961853027,630.1023379732571,4.87,3.85,3.92,1.0
395,2023-06-29,167.14999389648438,169.77000427246094,166.6199951171875,169.61000061035156,1003300,WM,3,1.1945333751174871,169.3083231008178,160.10067805885018,59.87187552092512,169.02735969182012,9.609774650805852,164.0348642985026,164.7279795328776,13.539999961853027,630.1023379732571,4.87,3.85,3.92,1.0
395,2023-06-29,113.5999984741211,114.2699966430664,112.61000061035156,113.37000274658205,12465500,NKE,3,-0.157218666625539,115.77706586489688,102.75593355526917,49.03843557452196,87.13610688663498,1.2069197244556145,109.5445281982422,116.71054967244466,13.539999961853027,630.1023379732571,4.87,3.85,3.92,1.0
395,2023-06-29,192.9900054931641,194.05999755859372,191.2400054931641,192.52999877929688,1688100,EL,3,-1.4986024240171787,204.93651818301845,174.2504813287003,43.3224606160776,21.264045825138467,15.048202183128064,190.81527303059892,211.35506108601888,13.539999961853027,630.1023379732571,4.87,3.85,3.92,1.0
395,2023-06-29,209.69000244140625,213.8999938964844,208.82000732421875,212.89602661132807,735400,IEX,3,0.7089938200847996,212.54028966733424,200.5471019952634,52.87084393029942,178.39423182618123,5.224211888352487,205.14334615071616,208.7095148722331,13.539999961853027,630.1023379732571,4.87,3.85,3.92,1.0
395,2023-06-29,110.5,113.37999725341795,110.26000213623048,113.37000274658205,972100,ARE,3,-1.39410046157424,123.29005463095916,107.20408141640412,44.93739886476052,-70.1163912312588,13.082769735683035,114.7706573486328,117.7586451212565,13.539999961853027,630.1023379732571,4.87,3.85,3.92,1.0
395,2023-06-29,88.58999633789062,90.23999786376952,88.11000061035156,90.12000274658205,3542300,CSGP,3,3.1347039810860338,91.16316961196776,77.1938311204541,69.25451683269662,152.36131613762493,41.171088391130034,82.23900019327799,77.14983342488607,13.539999961853027,630.1023379732571,4.87,3.85,3.92,1.0
395,2023-06-29,91.8499984741211,94.9499969482422,91.75,94.61000061035156,2119400,SWK,3,3.008457112594243,96.81105378308852,77.46994673571031,61.72760973532879,132.0156015870056,25.32217919853444,84.4009880065918,82.07145538330079,13.539999961853027,630.1023379732571,4.87,3.85,3.92,1.0
395,2023-06-29,179.58999633789062,182.57000732421875,178.83999633789062,182.47000122070312,587100,JBHT,3,1.915725315914756,181.790118534346,166.807879512529,56.49363351966901,193.8005119725228,16.27799535078807,172.84199930826824,173.66380030314127,13.539999961853027,630.1023379732571,4.87,3.85,3.92,1.0
395,2023-06-29,145.22000122070312,145.63999938964844,143.42999267578125,143.61000061035156,1863400,DLTR,3,-0.0348214067520871,148.76769412656597,126.3123061786098,49.45060024672633,20.843324330419545,8.133982906883745,141.814333597819,147.1680000305176,13.539999961853027,630.1023379732571,4.87,3.85,3.92,1.0
