,date,open,high,low,close,volume,tic,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence,reportedEPS,estimatedEPS,surprisePercentage,2year_rate,10year_rate,30year_rate
0,2014-01-06,19.194643020629883,19.5285701751709,19.05714225769043,17.076139450073242,412610800,AAPL,0,0.0,17.18778486587155,16.84237222336185,0.0,66.66666666666667,100.0,17.076139450073242,17.076139450073242,13.550000190734863,0.0,1.17,1.11,5.4054,0.40,2.98,3.90
0,2014-01-06,178.91969299316406,179.12045288085938,177.1510467529297,119.55216979980467,4254919,IBM,0,0.0,17.18778486587155,16.84237222336185,0.0,66.66666666666667,100.0,119.55216979980467,119.55216979980467,13.550000190734863,0.0,3.22,3.19,0.9404,0.40,2.98,3.90
0,2014-01-06,54.41999816894531,57.2599983215332,54.04999923706055,57.20000076293945,68852600,META,0,0.0,17.18778486587155,16.84237222336185,0.0,66.66666666666667,100.0,57.20000076293945,57.20000076293945,13.550000190734863,0.0,1.24,1.24,0.0,0.40,2.98,3.90
0,2014-01-06,3.9574999809265137,4.0,3.920000076293945,3.7460780143737793,40949200,NVDA,0,0.0,17.18778486587155,16.84237222336185,0.0,66.66666666666667,100.0,3.7460780143737793,3.7460780143737793,13.550000190734863,0.0,,,,0.40,2.98,3.90
1,2014-01-07,19.440000534057617,19.498571395874023,19.211429595947266,16.954017639160156,317209200,AAPL,1,-0.0027399124243352,17.18778486587155,16.84237222336185,0.0,66.66666666666667,100.0,17.0150785446167,17.0150785446167,12.920000076293944,0.0,1.17,1.11,5.4054,0.40,2.96,3.88
1,2014-01-07,178.193115234375,181.97897338867188,178.18356323242188,121.93677520751952,6205186,IBM,1,0.05350076235257,124.11681381216069,117.37213119516356,100.0,66.66666666666666,100.0,120.74447250366212,120.74447250366212,12.920000076293944,0.0,3.22,3.19,0.9404,0.40,2.96,3.88
1,2014-01-07,57.70000076293945,58.54999923706055,57.220001220703125,57.91999816894531,77207400,META,1,0.0161537879552611,58.57822956238932,56.54176936949545,100.0,66.66666666666667,100.0,57.55999946594238,57.55999946594238,12.920000076293944,0.0,1.24,1.24,0.0,0.40,2.96,3.88
1,2014-01-07,4.010000228881836,4.050000190734863,3.982500076293945,3.8074114322662354,33328800,NVDA,1,0.0013760702732281,3.863483274730216,3.690006171909799,100.0,66.66666666666667,100.0,3.7767447233200073,3.7767447233200073,12.920000076293944,0.0,,,,0.40,2.96,3.88
2,2014-01-08,19.243213653564453,19.484285354614254,19.23892974853516,17.061384201049805,258529600,AAPL,2,-0.000161761605419,17.16382801044442,16.89719951641105,47.63006086848363,99.99999999998684,100.0,17.030513763427734,17.030513763427734,12.869999885559082,0.0,1.17,1.11,5.4054,0.43,3.01,3.90
2,2014-01-08,181.0038299560547,181.08985900878903,179.0248565673828,120.8183822631836,4815470,IBM,2,0.0334892921514153,123.1552412087326,118.38297697160591,67.33199398742886,34.63495735339138,100.0,120.76910909016928,120.76910909016928,12.869999885559082,0.0,3.22,3.19,0.9404,0.43,3.01,3.90
